year,count
Sudan,0.3350125944584383
Malta,0.11838790931989925
Tunisia,0.41824440619621345
Libya,0.3649851632047478
Malawi,0.35168738898756663
Morocco,0.4616822429906542
Benin,0.22692307692307692
Cape Verde,0.3493975903614458
Cameroon,0.4344569288389513
Central African Republic,0
Mali,0.3967935871743487
Gabon,0.34818941504178275
Burkina Faso,0.3170103092783505
Ivory Coast,0.49734513274336284
Congo,0.344
Iraq,0.45886654478976235
Saint Vincent and the Grenadines,0.4383561643835616
Senegal,0.44045368620037806
Guinea,0.3626609442060086
Algeria,0.42376237623762375
Kuwait,0.42021276595744683
Jordan,0.3494897959183674
Papua New Guinea,0
Solomon Islands,0.4235294117647059
Liberia,0.27530364372469635
Somalia,0
Laos,0.1901840490797546
Saudi Arabia,0.478330658105939
Chad,0
Bermuda,0.35526315789473684
Niger,0.22926829268292684
Bahrain,0.33537832310838445
Palestine,0.26881720430107525
Yemen,0.19911504424778761
Wallis Islands and Futuna,0
Corsica,0
Mauritania,0.17452830188679244
Western Australia,0
Eswatini,0.2
Botswana,0.26881720430107525
Qatar,0.4146341463414634
Lesotho,0.1814516129032258
Bahamas,0
Brunei,0
Cook Islands,0
Yemen DPR,0
United Arab Emirates,0.39923224568138194
Faroe Islands,0.17857142857142858
Nepal,0.21348314606741572
Antigua and Barbuda,0.3163265306122449
Bangladesh,0.2403846153846154
Seychelles,0
Oman,0.3711111111111111
Equatorial Guinea,0
Mozambique,0.3256578947368421
Guam,0
Angola,0.34375
São Tomé and Príncipe,0
Rwanda,0.3360655737704918
Northern Cyprus,0
Armenia,0.24285714285714285
Georgia,0.3029045643153527
Azerbaijan,0.19183673469387755
Kazakhstan,0.24242424242424243
Tonga,0
Kiribati,0
Tuvalu,0
Samoa,0
Greenland,0
Liechtenstein,0.07575757575757576
Bhutan,0
Niue,0
American Samoa,0
Belize,0
Cayman Islands,0
Anguilla,0
British Virgin Islands,0
Palau,0
Sint Maarten,0
Namibia,0.2663755458515284
Ynys Môn,0
Shetland,0
Åland Islands,0
Saint Martin,0
San Marino,0.006134969325153374
Montserrat,0
Slovenia,0.3441295546558704
Jersey,0
Guernsey,0
Isle of Wight,0
Turkmenistan,0.37681159420289856
Tajikistan,0.3958333333333333
Uzbekistan,0.43636363636363634
Eritrea,0
Czech Republic,0.5387205387205387
Gibraltar,0
Isle of Man,0
North Macedonia,0.2911392405063291
Bosnia and Herzegovina,0.4
Canary Islands,0
Maldives,0.29559748427672955
Andorra,0.036585365853658534
Frøya,0
Hitra,0
U.S. Virgin Islands,0
Northern Mariana Islands,0
Turks and Caicos Islands,0
Micronesia,0
Gotland,0
Saare County,0
Rhodes,0
Tibet,0
Orkney,0
Falkland Islands,0
Monaco,0
Mayotte,0
Vatican City,0
East Timor,0
Alderney,0
Sark,0
Western Isles,0
Kosovo,0
Republic of St. Pauli,0
Găgăuzia,0
Crimea,0
Occitania,0
Sápmi,0
Comoros,0
Menorca,0
Iraqi Kurdistan,0
Padania,0
Arameans Suryoye,0
Gozo,0
Two Sicilies,0
Saint Pierre and Miquelon,0
Bonaire,0
Western Sahara,0
Raetia,0
Darfur,0
Tamil Eelam,0
South Sudan,0
Abkhazia,0
Artsakh,0
Madrid,0
Ellan Vannin,0
South Ossetia,0
County of Nice,0
Székely Land,0
Romani people,0
Felvidék,0
Chagos Islands,0
Somaliland,0
Western Armenia,0
United Koreans in Japan,0
Panjab,0
Barawa,0
Kárpátalja,0
Yorkshire,0
Surrey,0
Cascadia,0
Matabeleland,0
Kabylia,0
Timor-Leste,0
Myanmar,0
Parishes of Jersey,0
Chameria,0
Saint Helena,0
